,time,username,fullname,tweet,retweets
37,Jun 16,@Forbes,Raju Narisetti,"Google's moral posturing aside, there are serious issues with military AI. A Q&A with @tobinharshaw and @paul_scharre https://bloom.bg/2JIa9RR  via @bopinion",
38,Jun 16,@raju,Bloomberg,Google says: ,32
39,Jun 16,@business,Laurie Bleier,Nazis are turning to Google Plus after Facebook and Twitter kick them off https://www.independent.co.uk/life-style/gadgets-and-tech/news/nazi-google-plus-facebook-twitter-white-supremacist-extremist-groups-a8401156.html …,
40,3h,@laurie_bleier,dromografos News,It looks like Google is readying the Pixelbook to run Windows 10 https://buff.ly/2t9MgaF ,
41,3h,@TrueFactsStated,Aaron Parker,Apple Pay vs. Samsung Pay vs. Google Pay: Which mobile payment system is best? - CNET http://twib.in/l/aER7Apn7e6G6 ,
42,6h,@dromografosNews,"FraterIT, Inc.","Al Jazzera (Qatar) involved too. After ISIS left they have found laptops and other media ""tools"" w Al Jazzera's logo on it. Leaked emails claim Google offered to help the US government bring down Assad ",
43,7h,@stealthpuppy,M8,Google diversity report: Black women make up only 1.2 percent of its U.S. workforce ,23
44,7h,@FrateritInc,Women's Media Center,"Amazon won a major battle in Seattle, but a Big Tech 'head tax' could still happen for Apple and Google ",6
45,8h,@MATErlandsson,Business Insider,"""This case suggests that machine translation can fail even the most basic tests, and as long as that possibility remains, we have to maintain a healthy skepticism"" – TechCrunch",
46,11h,@womensmediacntr,Maeve Olohan,Google Executive Says Successful Companies Hire for These Overlooked Skills http://bit.ly/2Jujzfo  #google #jobs #futureofwork,25
47,16h,@businessinsider,Nige Willson,"Google is Wikimedia's biggest corporate donor.
https://techcrunch.com/2018/03/24/are-corporations-that-use-wikipedia-giving-back/ …",
48,19h,@maeveolohan,Danny Sullivan,Who is the secretive Google offshoot that has access to Ancestry's DNA database? ,
49,21h,@nigewillson,Anonymous 4thEstate,"This week in education news:
 Google launches college information search tool
 UChicago to stop requiring standardized test scores
 Education Department investigates University of Southern California",
50,22h,@dannysullivan,NPR,"The Russian troll factory linked site I wrote about earlier this week used Google plus to route people to their site, after Twitter prevented them from posting direct links  ",
51,22h,@Carnage4Life,Amy K Mackinnon,#Google improves translate with offline #AI. https://buff.ly/2l3gLv7 ,2
52,Jun 16,@4thAnon,life.ai,"Look out, Facebook and Google: Amazon is becoming an advertising giant https://on.mktw.net/2LRvqoA ",67
53,Jun 15,@NPR,MarketWatch,Who needs humans? Google's DeepMind algorithm can teach itself to see http://www.abc.net.au/news/science/2018-06-15/googles-deepmind-algorithm-can-teach-itself-to-see/9861590 …,
54,Jun 15,@ak_mack,Peter Xing,Could Google Image Search Help Fight Fake News On Social Media? http://dlvr.it/QXSNRW ,202
55,Jun 15,@yourlifeai,SocialMediaMarketing,"The 1 Reason Why You Should Fear Google Most of All https://b.mamund.com/2jD6cyp 

""Digital life is the natural and desirable next step in the cosmic evolution and that if we let digital minds be free rather than try to stop or enslave them the outcome is almost certain to be good.""",
56,Jun 15,@MarketWatch,Mike Amundsen,Google has a hard time holding onto its black employees https://cnn.it/2yhdjXi ,
57,Jun 15,@peterxing,CNN International,"Tory Esther McVey announces another humiliating climbdown on benefits

https://www.mirror.co.uk/news/politics/tory-esther-mcvey-reveals-1000-12713054 …

Shared from my Google feed",
58,Jun 15,@SocialMediaMrkg,Gill Thompson,"Every time there’s a new phone, people scream: “Samsung’s had that feature for 2 years!” “Apple introduced that 2 models ago!” If originality is so important, let’s find out: Who steals the most features? Apple, Google, or Samsung? Here’s my report. https://finance.yahoo.com/news/apple-google-samsung-steals-ideas-151723862.html …",
59,Jun 15,@mamund,David Pogue,"""Meet the Frenchman masterminding a Google-free Android""
Thank you for the interview, Andrew Orlowsky! @theregister
#eelo #privacy 
https://www.theregister.co.uk/2018/06/15/meet_the_man_building_a_googlefree_android/ … via @theregister",5
60,5h,@cnni,Gaël Duval,How startups are building driverless cars without Google’s billions https://buff.ly/2taBPn1 ,15
61,9h,@Gillthompsona4u,Mario Hartson,Google can predict whether you'll get hired after 4 interviews. Here's how. ,
62,10h,@Pogue,Inc.,Google Maps Street View reveals eerie abandoned island said to be haunted by locals http://bit.ly/2MzWCJV ,16
63,11h,@gael_duval,Daily Express,"Gadget Lab Podcast: Why Apple, Google, Microsoft Are Stirring the Software Pot #recruitment #Podcast http://bit.ly/2MB5mPA ",
64,16h,@MarioHartson,Open Select,Google is your friend:  ,
65,17h,@Inc,Glitter and Gold,Google is struggling to hold onto black and Hispanic employees as report reveals 'dismal' improvement in hiring minorities and women ,
66,Jun 16,@Daily_Express,Daily Mail US,"Google's moral posturing aside, there are serious issues with military AI. A Q&A with @tobinharshaw and @paul_scharre https://bloom.bg/2ygcE8m ",
67,Jun 16,@OSrecruit,Bloomberg Opinion,"A Google translation isn't enough evidence to send someone to jail, finds the judge in a narcotics case ",2
68,Jun 16,@FLRealist,Linguist Lounge,Nazis are turning to Google Plus after Facebook and Twitter kick them off https://www.independent.co.uk/life-style/gadgets-and-tech/news/nazi-google-plus-facebook-twitter-white-supremacist-extremist-groups-a8401156.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1529105648 …,4
69,Jun 15,@MKFerrante,The Independent,Who needs humans? Google's DeepMind algorithm can teach itself to see http://www.abc.net.au/news/science/2018-06-15/googles-deepmind-algorithm-can-teach-itself-to-see/9861590 …,
70,Jun 15,@BryanDawsonUSA,Transhumanism AU,BOSTON GLOBE Pleads: Break Up GOOGLE! ,1
71,Jun 15,@DailyMail,DRUDGE REPORT,Vancouver lawyer gets $1 in damages after suing Google Plus ranter https://ift.tt/2JOZiEV ,
72,Jun 15,@bopinion,CBC Tech and Science,"Many congrats to #google ! 
Google's next A.I. research center will be its first on the African continent https://cnb.cx/2l7S7cR  #AI #africa",
73,Jun 14,@Linguist_Lounge,Nige Willson,#CRISPR is 'like the google-search of genomes' and been billed as one of the biggest scientific breakthroughs of the 21st century. Francisco Mojica and @MerlinCrossley talks to @MikeySlezak @abcnews http://www.abc.net.au/radio/programs/am/scientists-say-discovery-could-revolutionise-treatment-of-cancer/9873102 …,
74,Jun 14,@Independent,UNSW Science,"#Google is ramping up its plan 

to put its #AI in the hands of #doctors 

https://read.bi/2JImAc6  #fintech #insurtech #ArtificialIntelligence #MachineLearning #DeepLearning @sandoNET #healthcare @guzmand @andi_staub @nigelwalsh @TunstallAsc @SabineVdL @stratorob @jblefevre60",
75,Jun 14,@transhumanismAU,Spiros Margaris,"Google’s annual diversity report shows the company is still struggling to make incremental change when it comes to diversifying its ranks of Black, Latinx, and female employees https://wired.trib.al/Dpb05xa ",3
76,Jun 14,@DRUDGE_REPORT,WIRED,Google has an official process in place for learning from failure—and it's absolutely brilliant: http://ow.ly/avZA30ktZPk  via @Inc #ChoiceContent,14
77,12h,@CBCTechSci,Hootsuite,I Google'd the original title and it threw back this newer piece.,
78,16h,@nigewillson,"Stephen #PeoplesVote #FBPE #OFOC #JC4P45  
🇪🇺",Can't get over fact that Google & Facebook continue to use Wikipedia as an authority to combat #fakenews but refuse to donate to Wikimedia. It's executive director now trying to shame them into doing so in this Wired article. Hope they get the hint.,20
79,22h,@UNSWScience,Dare Obasanjo,"Here's the TicToc on @bopinion:

– China’s costly ban on foreign trash https://bloom.bg/2t2kVaT 
– Yes, income inequality has stopped growing https://bloom.bg/2LWMPfP 
– Google walks away from America's security https://bloom.bg/2LZjOjB ",
80,Jun 16,@SpirosMargaris,TicToc by Bloomberg,"This week in education news:
 Curriculum changes for AP World History
 Google launches college information search tool
 UChicago to stop requiring standardized test scores",
81,Jun 16,@WIRED,NPR,"Bullish #crypto news! IBM, #Oracle, #Microsoft, #Amazon, #Google and others are plunging into #blockchain-as-a-service, given their customer demand, using blockchain to optimize their #business processes.

#cryptocurrency #blockchains #cryptos #cryptonews",
82,Jun 16,@hootsuite,DigiByte & Crypto News,"#SalmanKhan 'worst #Bollywood actor' - This is what #Google search says about #Race3 actor
https://www.financialexpress.com/entertainment/salman-khan-worst-bollywood-actor-this-is-what-google-search-says-about-race-3-actor/1208573/ …",
83,Jun 15,@TheStephenRalph,Financial Express,"Facebook, Google, and your data played a part in the AT&T-Time Warner decision https://yhoo.it/2l90THD  by @esfuchs",
84,Jun 15,@Paul1Singh,Yahoo Finance,"Manipur IAS Officer Praised For Leading Flood Relief In Waist-Deep Water

https://www.ndtv.com/offbeat/manipur-ias-officer-praised-for-leading-flood-relief-in-waist-deep-water-1868026 …

Shared from my Google feed",5
85,Jun 15,@NickCohen4,SuryaVanshi,Google has a hard time holding onto its black employees https://cnn.it/2JHbyrF ,
